278.89182, 2.97450
284.16887, 4.78754
286.80739, 6.60057
302.63852, 29.83003
314.51187, 34.24929
331.66227, 36.96884
343.53562, 38.89518
360.68602, 40.02833
372.55937, 42.40793
385.75198, 45.12748
400.26385, 47.39377
414.77573, 49.09348
431.92612, 50.22663
449.07652, 50.67989
471.50396, 49.66006
484.69657, 47.84703
508.44327, 43.42776
522.95515, 41.16147
542.74406, 37.98867
571.76781, 33.34278
600.79156, 29.15014
632.45383, 24.84419
670.71240, 20.19830
708.97098, 16.45892
752.50660, 12.94618
807.91557, 9.20680
851.45119, 6.82720
879.15567, 5.35411
