wavelength,intensity
782.06,3.6925e+11
782.36,3.6925e+11
782.67,-1.2703e+13
782.97,-1.1011e+13
783.28,2.8818e+11
783.58,-1.2784e+13
783.89,-1.2784e+13
784.19,-1.2784e+13
784.49,-1.2784e+13
784.8,-1.2784e+13
785.1,-1.2784e+13
785.41,-3.6988e+11
785.71,-3.6988e+11
786.02,-3.6988e+11
786.32,-5.3688e+12
786.62,2.2744e+12
786.93,2.2744e+12
787.23,-5.3688e+12
787.54,-1.8859e+13
787.84,-2.8594e+13
788.14,-2.7806e+13
788.45,-2.7806e+13
788.75,-2.7806e+13
789.05,-3.0165e+13
789.36,-4.3897e+13
789.66,-4.3897e+13
789.96,-4.3108e+13
790.27,-4.5605e+13
790.57,-4.5605e+13
790.87,-3.1873e+13
791.18,-1.9943e+13
791.48,-1.9943e+13
791.78,-2.3071e+12
792.09,-2.3071e+12
792.39,-2.3071e+12
792.69,-1.9943e+13
793,-3.723e+13
793.3,-4.4453e+13
793.6,-2.2804e+13
793.9,-2.2804e+13
794.21,-2.193e+13
794.51,-4.4453e+13
794.81,-5.3346e+13
795.11,-4.4453e+13
795.42,-2.6291e+13
795.72,-3.0823e+13
796.02,-3.0823e+13
796.32,-3.0823e+13
796.63,-3.0823e+13
796.93,-5.864e+13
797.23,-5.9971e+13
797.53,-5.9971e+13
797.84,-6.4941e+13
798.14,-6.4941e+13
798.44,-7.3944e+13
798.74,-7.013e+13
799.04,-7.013e+13
799.34,-5.8935e+13
799.65,-5.8935e+13
799.95,-2.4045e+13
