wavelength,intensity
492.63,4.7026e+11
492.98,5.5147e+11
493.33,7.325e+11
493.67,7.7678e+11
494.02,7.325e+11
494.37,7.4468e+11
494.71,7.4468e+11
495.06,9.7128e+11
495.4,7.4468e+11
495.75,7.583e+11
496.1,9.8934e+11
496.44,9.8934e+11
496.79,1.3962e+12
497.13,1.3962e+12
497.48,1.3962e+12
497.83,9.8934e+11
498.17,9.8934e+11
498.52,8.1885e+11
498.86,8.1885e+11
499.21,4.3894e+11
499.56,5.6413e+10
499.9,5.6413e+10
500.25,5.6413e+10
500.59,5.6413e+10
500.94,4.3898e+11
501.28,4.3898e+11
501.63,9.0543e+11
501.97,5.6503e+11
502.32,5.6503e+11
502.67,5.6503e+11
503.01,5.6503e+11
503.36,-4.2958e+10
503.7,-4.2958e+10
504.05,-7.9676e+11
504.39,-9.9595e+11
504.74,-7.4455e+11
505.08,-7.4455e+11
505.43,-1.1155e+12
505.77,-8.4168e+11
506.12,-1.1155e+12
506.46,-1.1155e+12
506.81,-8.4168e+11
507.15,-1.3625e+12
507.49,-1.3625e+12
507.84,-1.3625e+12
508.18,-1.3401e+12
508.53,-2.0165e+12
508.87,-1.7814e+12
509.22,-1.7814e+12
509.56,-1.1356e+12
509.91,-4.4017e+11
510.25,-4.4017e+11
510.6,-3.6889e+11
510.94,-3.6889e+11
511.28,-8.0906e+11
511.63,-8.0906e+11
511.97,-3.2694e+11
512.32,1.2719e+11
512.66,5.3333e+11
513,4.7715e+11
513.35,4.7715e+11
513.69,4.6435e+11
514.04,4.6435e+11
514.38,4.6435e+11
514.72,7.7103e+11
515.07,7.7103e+11
515.41,7.7103e+11
515.76,3.7912e+11
516.1,3.7912e+11
516.44,-2.5329e+11
516.79,3.7912e+11
517.13,-2.5329e+11
517.47,-2.5329e+11
517.82,-2.5329e+11
518.16,-7.1455e+11
518.5,-9.7163e+11
518.85,-9.7163e+11
519.19,-9.7163e+11
519.53,-9.7163e+11
519.88,-6.2912e+11
520.22,-6.2912e+11
520.56,-6.2912e+11
520.91,-2.6574e+11
521.25,-2.6574e+11
521.59,-2.6574e+11
521.93,-2.6574e+11
522.28,-4.354e+11
522.62,-4.354e+11
522.96,-7.427e+11
523.31,-7.427e+11
523.65,-7.427e+11
523.99,-3.2411e+11
524.33,-3.2411e+11
524.68,-2.2533e+11
525.02,-2.2533e+11
525.36,3.8718e+11
525.7,3.8718e+11
526.05,2.7499e+11
526.39,2.7499e+11
526.73,-5.2184e+11
527.07,-5.2184e+11
527.41,-5.2184e+11
527.76,-7.3227e+11
528.1,-7.3227e+11
528.44,-2.6783e+11
528.78,-3.9623e+11
529.12,-3.9623e+11
